Destination country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,8566,25701,155198
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29077,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,13203,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,58,0,0,0,0,228,0,31871,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,8973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,34896,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,4847,1152,142577
Algeria,0,0,0,0,0,0,0,0,0,0,167,167,0,0,215,277,0,169,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,191,0,0,683,0,955,0,0,0,132,0,0,0,0,0,171,317,0,0,0,0,157,0,440,0,407,0,0,184,1116,0,0,0,0,1561,137,582,0,0,0,0,0,0,0,0,0,0,0,0,1075,2901,0,15208,0,0,0,1486,0,223,4532,178,0,0,0,159,0,2399,0,0,0,2457,0,0,4665,0,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,393,0,0,0,0,634,0,0,376,546,0,0,0,0,0,979,151,0,0,315,132,1609,0,0,0,0,7878,249,0,0,0,149,0,0,0,0,23215,145,395,161,0,0,0,0,0,3205,0,0,167,208,6165,151,0,634,0,0,0,0,685,564,0,0,0,0,195,617,1606,2196,0,0,0,0,0,0,63544,4750,0,0,2067,171173,342196
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,0,0,30947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0,0,0,0,3594,0,0,0,0,300,0,0,0,0,0,200,629,41845
Andorra,0,0,0,0,0,0,0,708,0,0,61,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,4145,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,11830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22411,0,0,0,0,0,0,0,0,46,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,96,106,0,0,0,0,0,0,0,0,0,1871,603,45409
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62498,0,0,0,0,0,216,0,0,0,0,0,258105,7189,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,0,6046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92793,0,0,0,0,7264,0,0,54516,0,0,0,0,0,0,0,0,0,0,0,42688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,49128,51714,638499
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,5,7,0,0,2,0,0,308,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,137,0,0,0,0,0,0,0,20,19,0,0,0,0,4840,1819,0,10,0,0,0,0,1337,0,0,0,43,0,0,0,0,84,31,0,0,195,0,0,0,0,6601,33,7,0,0,0,81,0,0,0,0,0,0,74,4069,20,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,46,0,12,0,485,689,0,936,0,46,0,0,0,249,0,0,0,0,0,0,734,0,0,0,6,0,0,0,0,1013,2678,0,0,0,40,0,727,0,0,0,0,419,1333,29838
Argentina,9,77,210,0,47,81,0,0,939,1,1179,1671,1,4,12,52,23,315,1228,10,2,0,1,481781,6,5,51220,7,337,16,2,69,54,53,2062,0,0,0,0,221109,15924,50793,0,4,46,636,33,1386,3461,0,327,1860,434,0,13,10406,10887,274,477,13,10,206,33,0,2,176,9787,0,2,2,61,10340,99,1552,15,11,0,507,23,5,9,309,283,34,941,25,1736,95,208,54,313,0,1716,158049,26,4619,75,148,27,0,5071,8459,0,14,10,569,128,933,0,43,81,80,406,99,0,1544,7,3,82,1,8,10,0,1,1,11508,4,473,10,10,1236,231,16,9,6,2,1390,234,11,279,160,44,0,264,23,64,0,711,1,704503,239581,3577,7589,6785,358,9,1118,2726,13,1,20,0,83,459,14,0,21,56,0,202,1078,0,9,406,0,101726,17,0,0,0,0,8,9,0,561,1995,1337,0,10,158,0,4,3,35,61,888,14,0,4,12,5335,25,3029,27093,137726,27,8,10915,77,0,197,1,1,21,13743,32126,2391065
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,87454,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40794,679,0,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8929,0,0,0,0,0,0,0,0,846,0,0,16335,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13937,0,0,0,0,0,0,0,0,1809,872,0,0,0,2638,0,0,0,0,1064,0,0,0,0,0,0,0,0,9511,11897,220584
Aruba,0,4,3,0,0,0,5,71,0,0,14,13,0,3,0,1,11,0,40,0,0,1,0,9,0,0,135,0,1,0,0,3,0,0,62,1,4,0,0,28,1134,9827,0,0,0,56,0,1,131,2471,0,0,1,0,107,4355,171,4,3,0,0,0,4,0,1,1,52,0,0,1,0,67,3,9,0,259,0,10,0,0,290,1642,10,47,2,1,332,58,5,0,3,0,2,51,750,5,0,0,3,0,1,4,0,1,0,1,1,39,1,0,0,2,0,0,2,2,0,9,0,0,1,0,0,0,53,0,0,0,0,0,0,5,0,0,0,2,4615,0,0,107,1,4,0,1,0,4,0,16,0,3,1141,1010,14,165,27,0,2,9,77,0,1,0,4,0,1,0,0,8,705,6,1,0,0,24,0,41,1,32,18,6,113,1,1345,0,2,13,3,0,1,1,0,0,1,122,1,14,0,0,0,0,9,0,61,616,0,0,0,3421,2,0,0,0,0,0,2811,1161,40144
Australia,45610,3650,1560,460,30,550,10,15970,1390,70,0,18360,630,310,1740,43320,450,2080,7960,80,110,580,6040,1000,38160,1270,26750,3230,4020,60,2390,40,36920,470,51330,140,30,60,2203,30550,526040,18770,20,5090,1350,500,610,63350,890,130,20300,13710,10900,190,30,190,2610,44890,11050,10,4680,3980,13080,30,71800,9700,40270,520,50,140,670,124320,5980,116640,40,140,110,520,950,20,580,130,300,96920,20980,720,468830,83780,55650,71240,86450,430,11960,194900,1190,60050,6840,1940,19390,650,270,106670,1460,6050,490,11660,4800,93250,140,3480,2490,30,3290,280,2770,49880,290,1300,166150,640,80,44130,40,60,27590,5630,30,1210,90,2140,1840,2280,990,32540,1370,50440,82570,1680,607230,850,40,8980,11,4520,1830,63490,30,260,33510,490,10570,246430,55010,19460,170,1140,17230,24880,1010,29490,10,20,12580,400,33690,2910,3850,72860,10,6520,7730,2430,8960,181450,4610,19140,117730,40,60,0,30,23610,150,360,12520,15280,15600,140,4300,72250,10540,360,12440,1850,670,40390,110,0,190,3720,16260,8480,1195150,104310,10320,1760,1530,5770,236750,20,3306,690,6910,39120,45123,27134,6875657
Austria,36607,3656,1618,0,2,402,6,1604,3327,0,2380,0,1301,22,30,3010,21,1933,2708,10,121,15,33,483,162021,16,5129,9,23839,145,82,41,873,734,2461,0,25,25,0,1260,15986,1765,1,947,330,191,290,43339,915,0,297,39630,1319,9,36,3058,710,13806,101,9,270,523,1255,0,24,1631,8512,0,40,729,3467,219943,2255,5736,0,15,0,406,335,78,19,93,107,334,67729,208,13647,1330,19796,15319,1151,0,2230,31197,214,2731,755,2125,1093,0,3095,2362,34706,326,857,126,1482,1792,6,259,795,332,1329,935,11,24247,113,47,520,11,124,110,1,25,118,1909,2,2426,27,2148,1778,2247,94,115,223,690,8418,0,482,237,42,8212,0,801,149,6124,1,67,78,225,1679,12821,72220,2615,4,38,98727,32963,237,6,2,2,719,386,137057,30,251,312,0,37959,22218,6,4482,2523,339,6843,898,2,15,0,10,758,22,28,3000,14611,33569,577,205,5849,38,210,6,111,3864,160184,212,0,0,351,11949,364,10618,10912,249,1065,6,1028,3050,0,305,243,116,325,0,1,1593399
Azerbaijan,182,0,0,0,0,0,0,0,145693,0,0,0,0,0,0,0,0,15582,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,184,0,0,0,0,50173,2853,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,1501,0,0,0,0,0,0,0,0,20272,0,0,2785,381,0,0,3240,0,1415,0,0,0,0,0,4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033,0,0,0,756,175048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,0,0,0,0,0,0,0,2080,1691,0,0,0,41933,0,0,0,0,16707,0,0,171,0,0,0,0,0,3465,10756,515416
